intent,utterance
1,I want to know if I can register more than one profile with the same email address
3,"i would like to see a fucking bill, can you show me some information?"
2,"I need information, canI call Customer Service?"
12,"I'm happy with the service, lpdge an opinion"
11,"I do not like the service and I would like to make a consumer complaint, please"
13,"i want to view your money back guarantee, can u help me?"
0,"i have a problem paying, could u report it?"
10,could u ask an agent where to remove my account?
12,ask an agent where to leae a comment
7,I lost my bills and I want to check them
13,"could you give me information about your money back policy, please?"
0,"I got an error when I tried to pay, but I was charged anyway, can I notify it?"
0,"I have an issue paying for my order, how do I notify it?"
0,"please, ask an agent if i could report a problem making a payment"
7,"i lost my invoices, what can i do to see them?"
1,"i have no account, can i create one?"
12,"i wanna submit a comment for a service, what can i do?"
9,"I ordered something, help me change my purchase"
12,can I write an opinion for an service?
9,I purchased something and I want to change my order
2,"I need information, what do I have to do to speak with Customer Service?"
2,can you tell me the email address of Customer Service?
10,how can I delete my profile?
8,my profile was hacked and I want to get it back
6,"you arent helping, contact someone"
3,"i want to request a bill, tell me how to do it"
5,"the show was postponed, how can I request a reimbursement?"
5,"the event was cancelled , what do I have to do to obtain a reimbursement?"
7,"I didn't receive my invoice, how do Icheck it?"
9,"ask an agent if i could change my purchase, please"
4,can u ask  an agent if i can track my order?
10,"i dont want my online account, how can i remove it?"
5,I need help receiving a reimbursement
12,"I'm happy with the service, how do I file a review?"
11,how do i make a complaint?
0,the payment failed
8,"my account was hacked, what do I have to do to get it back?"
8,my account was hacked and I want to get it back
12,where can I leave a review for a service?
13,where is your refund policy?
11,"I'm not happy with the service, I need help filing a complaint"
3,how can I see a bill?
0,"please, ask an agent if I could inform of payment problems"
3,"do you mind asking an agent if I could obtain some bills, please?"
0,help me notify problems with my payment
12,can i leave an opinion for a service?
2,can you show me the mail address of Customer Service?
10,can I remove my onlinr account?
2,I need information about the mail address of the Customer Service
0,can i inform of an issue paying?
4,how do I track my purchase?
3,"I want to obtain a bill, can you tell me how to do it?"
13,where do i check your refund policy?
4,ask an agent where to check my deliveries
1,"i wanna create a profile, what do i have to do?"
4,"I want to track my order, tell me where to do it"
5,"the game was postponed, what should I do?"
1,"I don't have an online account, what do I have to do to create one?"
13,"i want to view your money back policy, can u help me, please?"
0,help me notify issues paying
4,tell me how I can know where my package is
4,can you ask an agent if my orders are on their way?
3,"i would like to see some invoices, can you give me some information?, please"
5,"the show was postponed, can u help me?"
8,"someone stole my account password, how can I reset it?"
6,"u are not helping, how do i speak with someone?"
7,"I lost my bill, how do I see it?"
5,"the show was cancelled, obtain a reimbursement"
10,"I changed my mind, what do I have to do to close my profile?"
7,"I didn't receive my invoice, can  I view i?"
7,"I can't find my invoices, show them"
9,can u ask an agent if i could change my purchase?
0,"ask an agent if I could inform of a fucking issue making a payment, please"
2,"I need information, what do I have to do to send an email to Customer Support?"
5,how do i obtain a reimbursement?
3,I need help requesting an bil
0,how do I report a problem paying?
13,"i want to see your reimbursement policy, what should i do?"
9,"I bought a product, what do I have to do to modify my purchase?"
4,I want to check my delivery
0,I want to report an issue paying
2,"can you tell me what the fucking phone number to contact Client Service is, please?"
8,could u ask an agent how to retrieve my password ?
10,"i dont want my user account, whazt can i do to remove it?"
7,"please, can you ask an agent where I could view my bill?"
7,"can you ask an agent how I can view my fucking invoice, please?"
0,"I get an error message when I attempt to pay for my order, what should I do?"
3,where can I get a bill?
8,"my online account's been hacked, what do i have to do to recover it?"
6,"u are not helping, what should i do to contact a human agent?"
13,i want to check your reimbursement policy
0,"I get an error when I attempt to make a payment for m order, what should I do?"
5,"the event was cancelled, what can I do to request a reimbursement?"
3,I want to know how to see a bilo
2,"please, can u ask an agent what the mail to contact Customer Support is?"
11,I want to lodge a complaint
12,I want to write a review for a service
2,i want to see the free phone number to contact client service
2,"can u call customer service, please?"
10,"I chaged my mind, delete my profile"
5,"I want to get a refund, what do I have to do?"
10,can u ask an agent how i can delete my user account?
1,"ask an agent where to register, please"
4,"I want to track my rder, canyou tell me how I can do it?"
5,the game was cancelled and I want to request a reimbursement
0,how do I inform of a problem with my payment?
3,"ask an agent if I could see some invoices, please"
10,"I don't want my profile, remove it"
0,"i got an error message when i attempted to pay , but i was charged anyway, how can i notify it?"
7,how can i check my bills?
6,"I don't understand you, can I contact a human agent?"
1,"I want an account, can I create one?"
12,sak an agent how to leave a review
7,"I can't find my fucking bills, can I check them?"
7,"I didn't receive my invoices, how can I see them?"
4,I need help tracking my purchase
4,can you tell me where I can track my packages?
4,cn  you ask an agent how to check my shipment?
3,tell me how I can obtain an invoice
6,"you're not helping, what do I have to do to talk to a human agent?"
9,can you tell me where to change my purchase?
5,"the event waspostponed, how do I request a refund?"
0,I have an issue paying for my online order
5,"the concert was cancelled, what can i do to get a refund?"
10,how to remove my online account
8,"i lost my account password, how do i retrieve it?"
11,"I'm not happy with the service, can you lodge a complaint?"
11,im discontent with the service and i want to file a consumer complaint
2,I need information about the email address of the Customer Support
4,how to track my delivery
13,how do I see your reimbursement policy?
0,can u ask an agent where to inform of a problem with my payment?
0,I need help solving an issue making a payment
4,is it possible to check my order?
2,i wanna see the number of customer service
3,"please, i wanna know where I can download a bill"
8,"soemone stole my password, how can I resewt it?"
0,"i wanna notify a problem making a payment, what can i do?"
9,i ordered something and I want to modify my purchase
4,I want to know how I can track my delivery
9,"I made an mistake, how do I chnage my purchase?"
8,"my account was hacked, how do i recover it?"
3,can you tell me how to get a bill?
11,"I'm discontent with the service, help me submit a complaint"
3,what can you tell me about requesting an invoice?
1,can you tell me if i can register several accounts with a single email address?
1,"I don't bave an account, how can I open one?"
8,my profile's been hacked and I want to get it back
0,"i have an issue paying for my order, what should i do to notify it?"
3,where do I download an invoice?
8,"my online account's been hacked, get it back"
0,I need help notifying payment problems
3,how to obtainsome bills
4,where can I track my packages?
8,"someone stole my password, how can I retrieve it?"
12,"I'm happy with the service, what should I do to file an opinion?"
3,"I wanna request an invoice, tell me how I can do it"
9,"I ordered a product, what should I do to modify my purchase?"
3,I want to get information about getting some bills
4,can you tell me where to check my orders?
1,i wanna know if i can register two online accounts with a single email address
10,I need help closing my account
10,i dont want my online acount and i wanna remove it
3,"I want to get an invoice, can you tell me how I can do it?"
7,"i wanna check my invoices, could u help me?"
9,"I purchased an item, I need help modifying my order"
9,"i bought a product and I want to change my fucking order , please"
2,I want to know what the email address of the Customer Service is
0,"could u ask an agent where to inform of problems with my payment, please?"
3,"could  you ask an agent if I can get a fucking invoice, please?"
9,i ordered a product and i wanna modify my purchase
3,I want to know where I can request a bill
10,"I changed my mind, how do I delete my user account?"
2,"I have a question, can you send an email to Customer Support?"
2,how do I contact Client Service?
0,"I have a problem making a payment, can you inform of it?"
5,"the concert was postponed, what can i do to request a reimbursement?"
0,"I got an error when I tried to pay, but I was charged anyway, what can I do to notify it?"
5,"the event was postponed, could i request a fucking refund?"
1,can I create more than one account with a single email address?
6,"i dont understand you, contact a human"
4,where to check the status of my order
5,"the concert was postponed, how  can I obtain an refund?"
9,"i bought a product, what can I do to modify my order?"
10,where do I cancel my user account?
0,where can I report payment problems?
5,"the concert was cancelled, how do I get a reimbursement?"
13,"id like to view your money back guarantee, can u help me?"
6,help me speak with a person
5,the event was cancelled and i want to get a reimbursement
8,"my profile's been hacked, what should i do?"
3,"I want to download an invoice, can you give me some information?"
2,i need information about the mail of the Customer Support
13,check your reimbursement policy
6,"I can't understand you, how do I speak with a human agent?"
0,i wanna inform of a problem paying
5,the concert was postponed and i wanna request a reimbursement
8,"my profile's been hacked, can you help me?"
9,"I purchased a product, what should I do to change my order?"
7,"I can't  find my invoice , view it"
10,where can I delete my online account?
6,"you aren't helping, I need help speaking with someone"
9,"I bought a product, what do I have to do to change my order?"
4,information about the status of my order
4,can you provide information about the status of my purchase?
1,"I haven't got an online account,  I need help creating one"
12,"i want to submit a fucking comment for a service, what should i do?"
12,"please, ask an agent if I could write an opinion"
7,"I didn't receive my invoice, check it"
1,"I have no user account , what do I have to do to open one?"
7,"i can't find my bills, can u show them?"
11,"ask an agent where to file a complaint for a service, please"
4,"could you tell  me if i could check my fucking package, please?"
4,"i wanna check my order, can you tell me where I cn do it?"
5,how can I receivew a  reimbursement?
6,"you arent helping and id like to speak with someone, please"
9,"I purchased something, can I change my order?"
11,"ask an agent to lodge a complaint for a service, please"
2,show me the free phone number of Customer Support
8,"someone stole my account password, i need help resetting it, please"
4,I want to know how to check my package
3,could u ask an agent for information about obtaining some fucking bills?
6,I don't understand you and I want to contact a human agent
2,can I send an email to Customer Support?
5,"id like a fucking refund, how could i obtain one?"
3,I want to know if i can download an invoice
11,where do I lodge a consumer complaint for a service?
3,I need information about requesting some invoices
1,can i register two online accounts with a single email address?
6,"you aren't helping, can I contact a human?"
4,how can I know where my order is?
0,"i need help notifying problems making a payment, please"
1,"I don't have a user account, how can I create one?"
9,I wanna ask for information about changing my order
13,where can I check your reimbursement policy?
9,"I ordered something, how do i change my order?"
2,i need information and i want to talk to client service
13,help me view your refund policy
11,can i make a complaint for a service?
11,where do I file a consumer complaint for a service?
6,you're not helping and I want to talk to someone
12,"im happy with the service, i need help maikng a comment"
0,"I want to inform of a payment issue, what can I do?"
11,"I don't like the service, can you lodge a complaint?"
0,"please, can u ask an agent how i could solve a payment issue?"
13,whereto check your money back policy
3,how can I request some invoices?
4,"please, could you ask an agent how I could track my shipments?"
13,where to see your money back policy
8,"I forgot my account password, help me retrieve it"
3,tell me where I can obtain a bill
10,where do i remove my account?
2,"I want information, I need help contacting Customer Service"
6,how to speak with a human agent
12,"I'm happy with the service, lodge a comment"
9,"I purchased an item, I need help changing my order"
9,"i ordered a product, how can I change my purchase?"
5,"I want a reimbursement, how do I request one?"
4,i need help tracking my packages
4,I want to know if my orders are on their way
5,"the show was cancelled, how can I request a refund?"
6,"youre not helping, help me speak with a human"
8,"I can't remember my account password, what do I have to do to retrieve it?"
2,can you show me the mail of the Customer Support?
6,"you arent helping, speak with a person"
2,can you show me the mail of Customer Service?
12,how can I write a review?
1,"I haven't got an online account, can you create one?"
4,"I want to track my purchase, what should I do?"
7,"i didn't receive my invoices, how can i view them?"
10,can I close my user account?
1,tell me if I can create two profiles with the same email
9,"i bought something, how can I change my purchase?"
6,"i cant understand you, what can i do to talk to a person ?"
12,can u ask an agent where i could leave a review?
4,"I wanna track my package , tell me how I can do it"
5,ask an agent where i can obtain a reimbursement
8,"I can't remember my password, what do I have to do?"
5,the game was postponed and I want to request a reimbursement
7,i wanna see my fucking bills
6,you aren't helping and I want to contact a human agent
5,"the show was cancelled, what do I have to do to get a reimbursement?"
0,I have an issue paying for my online order and I want to report it
6,"you aren't helping, what can I do to speak with a human agent?"
4,can I track my order?
7,"I didn't receive my bill , how can I see it?"
5,"the game was cancelled, how do I request a reimbursement?"
12,"I want to file an opinion, what can I do?"
0,help me solve a problem making a payment
0,how do I solve issues  with my payment ?
5,"the show was cancelled, what do I have to do to get a refund?"
5,"the event was postponed, what can I do to obtain a reimbursement?"
10,I need help closing my profile
3,i wanna know something about downloading an invoice
1,can you tell me if I can create several online accounts with the same email address?
3,what information can you tell me about downloading some bills?
2,i wanna know what the email to contact client service is
10,can u ask an agent where to close my online account?
0,where could i inform of fucking payment issues?
12,"i want to make a review for a service, can u help me?"
0,"I want to report an issue with my payment, what should I do?"
13,check your refund policy
5,"I want a reimbursement, what can I do to request one?"
12,"I want to ldge a comment for a service, can you help me?"
4,tell me if my shipments are out for delivery
5,"please, could you ask an agent where I can obtain a reimbursement?"
5,"the event was postponed, how can I get a reimbursement?"
3,request a bill
3,ask an agent how to request some inovices
2,can you tel me what the free no of Client Service is?
7,"I didn't receive my bill, how do I check it?"
7,information about my invoices
3,I want to know if i can see a bill
2,tell me what the free number of Customer Service is
3,can you ask an agent if i could see some bills?
8,"I can't remember my account password, help me retrieve it"
7,I want to see my bills
6,"youre not helping, how do i contact a person?"
2,I want information and I would like to talk to Client Service
5,the game was postponed and I want to get a reimbursement
6,"I can't understand you , help me talk to a human"
1,"I haven't got an online account, what should I do to create one?"
6,"I do not understand you, can I speak with a fucking person, please?"
3,"I wanna download a invoice, could you tell me where I can do it, please?"
13,i need help checking your refund policy
12,how can i write a review for a service?
12,"I want to lodge a review for a service, what can I do?"
7,"I want to check my bills, can you help me?"
7,where tocheck my bills
8,I lost my password and I want to recover it
8,"I can't remember my password, reset it"
2,"I need information, help me send an email to Client Service"
3,i need information about getting some bills
11,"i want to lodge a complaint, can u help me?"
1,"I don't have an online account, what do I have to do to open one?"
6,can I speak with a human agent?
5,"the game was cancelled, what do I have to do to obtain a reimbursement?"
4,can I check the status of my purchase?
6,"I can't understand you, speak with a human"
7,how can I see y bills?
6,"please, can you contact a human agent?"
7,"I lost my invoices, what can I do to see them?"
0,"I got an error when I tried to make a payment, but I was charged anyway, rreport it"
12,i wanna leave a comment for a service
3,where can I download a bill?
3,I wanna know how I can obtain a bill
8,my profile's been hacked and i wanna get it back
8,"someone stole my account password, reset it"
0,where can I inform of payment problems?
0,"an error message pops when I try to pay, what can I do?"
5,"the concert was cancelled, obtain a refund"
0,"i got an error message when i tried to pay, but my card was charged anyway, notify it"
1,"I need an online account, what do I have to do to open one?"
4,i wanna know how I can know where my shipment is
2,"I want information, how can I talk to Client Service?"
8,how could I retrieve my password ?
12,"I want to lodge a comment, can you help me?"
5,"i want a refund, how can i obtain one?"
13,"i wanna view your money back guarantee, can u help me?"
11,"im not happy with the service, can u lodge a complaint?"
0,"I have an issue making a payment, what should I do to report it?"
5,the event was cancelled and i want to request a reimbursement
4,"please, could you ask an agent to provide niformation about the status of my purchase?"
5,"I need a reibursement, can I obtain one?"
9,could u ask an agent how I can change my order?
9,"please, could u ask an agent if I could change my order?"
11,"I'm discontent with the service, file a consumer complaint"
2,tell me what the free phone number to contact Client Service is
4,I want to know if I can check my deliveries
8,"I lost my account password, what should I do?"
9,"I bought something, how do I change my order?"
0,"I have a problem when trying topay, inform of it"
0,"I have a problem making a payment with card, what should I do to notify it?"
0,ask an agent to solve a problem with my payment
9,can you ask an agent if i can modify my order?
10,"can you ask an agent if I could close my profile, please?"
8,"my profile's been hacked, help me get it back"
13,ask an agent where I could see their refund policy
6,talk to a human agent
10,"I don't want my account, how can I cancel it?"
6,"you aren't helpnig , I need help talking to a human"
1,"could you tell me if I can register two user accounts with a single email, please?"
2,"I want information, what do I have to do to talk to Client Service?"
13,"I would like to view your money back guarantee, what can I do, please?"
5,"the event was cancelled, request a refund"
6,I need help speaking wiht a human
6,help me speak with someone
0,can u ask an agent if i can inform of issues making a payment?
8,"I forgot my account password, what do I have to do to retrieve it?"
2,I want information and I want to contact  Customer Support
5,"the show was cancelled, help me obtain a reimbursement"
7,"i can't find my invoice, what do i have to do to view it?"
0,"I got an erfror when I attempted to pay, but I was charged anyway, what should I do?"
5,"the show was cancelled, can i request a refund?"
6,"u are not helping, can u contact a human agent?"
9,how do I change my order?
5,"the event was cancelled, what do I have to do?"
1,"I have no user account, what should I do to register?"
0,"I got an error message when I attempted to pay, but I was charged anyway, I need help notifying it"
1,i need help opening an account
2,"i have a queestion, help me contact customer service"
4,can you tell me where to track my shipments?
12,"I'm happy with the service, how do I make an opinion?"
8,"I lost my account password, can you retrieve it?"
4,"I wanna track my order, tell me where to do it"
8,"my account's been hacked, can I recover it?"
4,can you tell me if I can track my shipments?
3,what information can u tell me about seeing a bill?
2,tell me what the email address of Customer Service is
0,I have a problem paying for my online order and I want to notify it
1,ask an agent to create a profile
2,ask an agent if there is a free number to contact customer support
3,can you download some bills?
13,"I want to view your money back policy, what do I have to do?"
0,"i wanna report a problem paying, what should i do?"
10,how do I delete my profile?
11,"I want to file a complaint for a service, can you help me?"
0,an error message pops when I attempt to make a payment for my order
8,"I can't remember my password, I need help resetting it"
9,I want to know how I can change my purchase
10,"I don't want my online account, I need help canceling it"
4,"i want to viwe the status of my order, what can i do ?"
1,can I register more than one account with the same email?
0,can u ask an agent how to inform of problems making a payment?
12,where can I leave a comment for a service?
2,"i want to know what the mail to contact customer service is, please"
8,"my profile's been hacked, and I need help getting it back"
8,"my user account was hacked, can you get it back?"
5,i need help requesting a reimbursement
10,"I changed my mind, how can I cancel my profile?"
3,I want to request information about requesting some invoices
6,you're not helping
2,can you tell me what the email of the Customer Support is?
12,I'm happy with the service and I want to oldge a comment
6,"i dont understand you, i need help speaking with an persson"
0,"I have a problem paying, help me inform of it"
5,I needhelp requesting a refund
12,"i wana lodge a fucking opinion, whta should i do?"
5,"the concert was cancelled, what should I do to get a refund?"
11,"im not happy with the service and i want to lodge a consumer complaint, please"
0,"an error message pops when i attempt to pay, what should i do?"
6,youre not helping and i wanna talk to a human agent
10,ask an agent where i can close my user account
6,"you aren't helping, help me contact someone"
10,"I don't want my profile, help me close it"
4,how to track my deliveries
5,"i want to obtain a refund, what should i do ?"
0,"I got an error message when I tried to pay, but my card was charged anyway, help me notify it"
5,could u askan agent when I will obtain a refund?
11,"I'm not happy with the service, make a consumer complaint"
9,tell me about changing my ourchase
13,"please, could you ask an agent how I could check their money abck guarantee?"
13,im interested in your refund policy and i want to know about it
7,ask an agent hw  can check my bills
7,"I lost my invoice, can you view it?"
8,"my account's been hacked, what can I do to get it back?"
0,can I solve a problem paying?
8,"I can't remember my password, how do I retrieve it?"
10,"I don't want my account, what do I have to do to remove it?"
8,how do I reset my password?
5,"i want a refund, what should i do to get one?"
3,tell me where I can request a bill
2,"I need information, can I contact Customer Support?"
0,"I have a problem making an payment with card, what do I have to do to report it?"
3,"i wanna get an invoice, can you show me some information?"
2,i want to see the mail to contact client service
11,"im not happy with the service, i need help filing a consumer complaint"
3,can you tell me how to request some bills?
4,can you tell me if my shipment is out for delivery?
0,"I have a issue making a payment, I need help informing of it"
2,could you tell me what the email address to contact Client Service is?
0,I need help solving paymwnt problems
1,can I create more than one online account with a single email address?
6,"u are not helping, what can i do to speak with someone?"
3,how can I request an invoice?
7,"id like to see my invoice, can u help me?"
1,i want to know if i can create several fucking online accounts with the same email address
13,I don't know anything about your refund policy and I want to knowabout it
5,"the fucking show was postponed, how could I get a refund?"
9,tell me if i can change my purchase
12,"could u ask an agent if i could leave a comment, please?"
7,"i want to checkl my bills, can u help me?"
7,"could you ask an agent how I can check my bill, please?"
5,"could you ask an agent when I will get a reimbursement, please?"
9,"I purchased something, how can i modify my purchase?"
12,"I want to make a comment, what should I do?"
1,"I ahve no account, can I create one?"
9,"can you tell me if i could change my order, please?"
9,"I want to modify my order, can you tell me where to do it?"
5,"the show was cancelled, get a refund"
8,"I want to retrieve my account password, what do I have to do?"
2,help me send an email to fucking customer service
0,"I got an error message when I tried to pay, but my card was charged anyway, what do I have to do?"
2,ask an agent how I could speak with Customer Suppoet
1,I want to know if I can create more than one user account with a single email
4,I want to know if my packages are on their way
5,"i wanna request a refund, can u help me?"
3,i want to know how I can request some bills
5,"I need a reimbursement, can I request one, please?"
7,"I can't find my bills, help me see them"
4,"i want to track my orders, tell me  where to do it"
9,"I bought a product, how do I modify my order?"
3,I want to know how to request a bill
10,how can I close my user account?
12,"I'm happy with the service, how can I lodge an opinion?"
13,ask an agent where i can see their reimbursement policy
7,"I lost my invoice, I need help viewing it"
5,"can you ask an agent where I can request a refund, please?"
0,"could u ask an agent if i could notify payment problewms, please?"
1,I want to know if I can register two online accounts with the same email address
9,"I made a mistake, how do I modify my purchase?"
9,what can you tell me aboutt changing my purchase?
3,see a bill
2,i wanna know what the phone number to contact customer support is
9,"i made a mistake, what do i have to do to change my purchase?"
1,can I own more than one user account?
3,"could u ask an agent for information about downloading an invoice, please?"
5,the game was canceled and I want to obtain a reimbursement
6,"you aren't helping, how can I talk to someone?"
1,"I've got no user account, can you create one?"
5,"the concert was postponed, how do I obtain a refund?"
10,I want to delete my online account
8,"I forgot my password, how do I reset it?"
1,I haven't got a profile
2,"id like information, can u speak with customer support, please?"
7,"i lost my bill, what do i have to do to view it?"
13,I don't know anything about your money back policy and I want information about it
5,"I want a reimbursement, get one"
2,show me the no to contact Customer Support
6,can i talk to someone?
13,can I see your reimbursement policy?
10,where can I remove my online account?
6,"you arent helping, what should i do to talk to a person?"
3,can you ask an agent if i can request some bills?
0,"I got an error when I tried to make apayment, but I was charged anyway, what should I do to notify it?"
4,show me the status of my order
1,id like a profile and id like to create one
7,I lost my bill and I want to check it
4,where to check my packages
0,"I have a problem making a payment with card, can I report it?"
8,someone stole my account password
2,how do I talk to Customer Support?
9,I ant to ask for information about modifying my purchase
6,"you aren't helping, could you talk to a human agent, please?"
10,"i changed my mind, how could i remove my account?"
8,"i forgot my password, i need help resetting it"
6,you are not helping and I'd like to speak with a person
0,"i have a problem masking a payment with card, what can i do to inform of it?"
0,"I get an error when I attempt to make a payment, what can I do?"
11,"I don't like the service, can I submit a complaint?"
6,"you arent helping, can i speak with a human agent?"
4,can u show me the status of my order?
5,"the concert was cancelled, how can I obtain a reimbursement?"
4,"can you ask an agent where I can check my shipments, please?"
6,how do I contact someone?
8,"my profile was hacked, what can I do  to get it back?"
13,ask an agent about their money back guarantee
3,request some invoices
10,"i dont want my profile, can u close it?"
6,"youre not helping, how could i contact a human agent?"
3,I want to request information about seeing an invoice
5,"I want a refund, obtain one"
4,can you show me information about the status of my purchase?
9,"I purchased an item, what should I do to modify my purchase?"
9,can you tell me where I can modify my purchase?
13,I don't know anything about your reimbursement policy and I need information about it
7,i need information about my invoice
11,"I'm not happy with the service, what should I do to make a complaint?"
1,"I haven't got a user account, help me create one"
1,tell me if I can create several online accounts with the same email address
4,I want to know how to know where my shipment is
11,i wanna lodge an complaint fvor a service
13,can you show me your refund policy?
12,"I want to file an opinion for a service, what can I do?"
5,ask an agent how i can request a refund
10,"could u ask an agent how i can remove my account, please?"
8,"I can't remember my password, what should I do to reset it?"
0,"I have an issue when trying to mazke a payment with card, can you inform of it?"
9,I want to moeify my order before you send it
0,"I got an error when I tried to make a payment, but I was charged anyway, what do I have to do to notify it?"
9,"I bought a product, I need help modifying my order"
3,how do I download some invoices?
4,how do I see the statusof my purchase?
5,how to receive a reimbursement
0,where can I inform of an issue making a payment?
2,speak with Customer Service
3,I need help seeing a bill
7,can you tell me about my bill?
6,"you aren't helping, I need help speaking with a person"
4,cqn you ask an agent if I can track my delivey?
12,I want to leave a review
11,"please , ask an agent if i could file a complaint for a service"
4,I want to know where I can check my hsipment
2,"I want information, talk to Clent Service"
4,"i want to view the status of my ordr, can u help me?"
6,"you aren't helping, how do I contact a human agent?"
1,I need a user account and I want to open one
6,"I do not understand you, can I speak with a person, please?"
8,"my profile was hacked, what do I have to do to get it back?"
7,can i check my invoices?
5,how do I receive a refund?
6,"youre not helping, help me contact someone"
0,can I notify a payment propblem ?
10,"I changed my mind, what can I do to remove my account?"
3,can you get an invoice?
10,"I want to remove my account, where can I do it?"
1,"ive got no online account, what do i have to do to open one?"
12,how can i leave an opinion?
11,"I want to file a consumer complaint, what can I do?"
10,"I changed my mind, close my profile"
3,I want to know something about obtaining an invoice
0,how can i solve payment issues?
6,"I do not understand you, could you contact a person?"
2,can you tell me what the email address to contact Customer Service is?
8,"my profile was hacked, what do i have to do to get it back?"
6,"I can't understand you, what can I do to speak with someone?"
0,"I got a error message when I tried to make a payment, but my card was charged anyway, what should I do to report it?"
6,"you're not helping, how can I contact someone?"
8,"please, can u ask an agent how i can retrieve my account password?"
7,how can i view my invoice?
10,"I changed my mind, can you remove my online account?"
1,"I don't have a proflie, I need help creating one"
3,I need information about requesting an invoice
12,"please, ask an agent where i can write a fucking comment for a service"
7,I didn't receive my bipl and I want to view kt
10,"I don't want my account, how do I remove it?"
9,I made a mistake and I wanna modify my order
12,how can I write a comment?
2,I want to see the email address of Client Service
3,i want to see a bill
13,help me check your refund policy
12,"i want to submit an opinion for a service, what do i have to do?"
10,help me close my account
5,can u ask an agent how  can obtain a reimbursement?
6,I want to talk to a person
10,"I changed my mind, can I delete my online account?"
2,can you send an email to Customer Service?
4,can u ask an agent how to know where my  delivery is?
4,can u ask an agnet if my fucking orders are on their way?
4,can you tell me how I can track my shipment?
0,"I got an error when I attempted to pay, but my card was charged anyway, can I inform of it?"
13,could u ask an agent how to view their money back policy?
4,tell me how I can know where my shipments are
8,"I lost my account password, how can I retrieve it?"
10,"I want to cancel my user account, how can I do it?"
8,"someone stole my password, i need help resetting it, please"
2,can you tell me what the email address of customer support is?
4,i wanna know if i could check my deliveries
2,I want information about the email of the Customer Support
5,"I want a refund, how do  requesg one?"
10,"I changed my mind, cancel my account"
5,I want to receive a refund
7,"I want to view my bill, what should I do ?"
7,how can I check my bill?
9,"I ordered a product, what do I have to do to modify my order?"
4,is it possible to track my packages?
13,can u give me information about your fucking money back guarantee?
1,tell me if I can register more than one account with a single email
4,help me tfackmy package
2,"I need informaton, how do I send an email to Client Service?"
7,"i can't find my invoice, what should i do to see it?"
3,can you obtain an invoice?
0,"i got an error message when i tried to make a payment, but i was charged anyway and i wanna notify it"
9,"I ordered an item, how do I changemy purchase?"
6,"u are not helping, can u talk to a human?"
12,"please, can u ask an agent where to leave a comment?"
10,I need help deleting my online account
10,"i changed my mind, what should i do to remove my profile?"
4,i wold like to check my deliveries
13,i wanna view your money back policy
12,how do I leave a  comment?
11,"I want to lodge a consumer complaint for a service, can you help me?"
2,information about the mail of the Customer Support
7,"I can't find my bills, can you view them?"
5,"I need a reimbursement, what can I do to obtain one?"
12,"I'm happy with the service, make a review"
13,"I want to view your money back guarantee, can you help me?"
3,I need information about getting some invoices
2,i have a question and i wanna send an email to customer support
8,how to recover my password
12,can u ask an agent how i can leave an opinion?
10,"I don't want my user account, what can I do to cancel it?"
9,"I ordered a product, can I change my order?"
1,i have no user account and i want to open one
8,"my online account has been hacked, can u help me?"
0,"an error pops when I attempt to make a payment, what should I do?"
1,can I register several online accounts with the same email address?
3,"please, can you obtain some bills?"
2,how to send an email to customer service
9,"I bought something, i need help changing my order, please"
2,ask an agent what the mail to contact customer service is
6,how could i speak with a human agent?
2,can you give me information about the mail of the Customer Support?
5,"the game was postponed, how can I get a refund?"
9,"i would like to change my fucking purchase  , tell me where to do it"
11,ask an agent how to make a complaint for a service
2,"can u show me information about the mail address of the Customer Service, please?"
6,"you're not helping, help me talk to a human"
11,"I don't like the service, what should I do to make a complaint?"
7,I need help seeing my invoices
11,"I'm not happy with the service, I need help filing a complaint, please"
0,"please, ask an agent if icould inform of a fucking payment issue"
4,"I want to check my shipments, can you tell me how to do it?"
8,id like to retrieve my password
6,"i dont understand you , how do  i contact a person?"
3,I want to know if I can get some invoices
4,"i wanna check hte status of my order, can u help me?"
5,"the event was postponed, what can i do?"
8,"my user account's been hacked, nad I need help recovering it"
0,"I have an issue paying for my order, can you notify it, please?"
6,you arre't helping
0,"I get an error message when I attempt to make a payment with card, what do I have to do?"
0,"I have a problem paying with card, can you report it?"
7,"I can't find my bills, can I see them?"
3,where do I request an invoice?
4,where can I track my order?
11,"please, ask an agent where to file a fucking consumer complaint"
5,"the concert was postponed, what should I do to obtain a reimbursement?"
10,"I want to delete my account, how can I do it?"
6,"youre not helping, can u talk to a human?"
1,can you tell me if I can register more thanone account with the same email address ?
11,"please, can u ask an agent if i can lodge a complaint for a service?"
2,i want to see the mail address of the Customer Support
9,"i wanna modify my fucking purchase, can you tell me how to do it?"
0,"i got an error message when i tried to make a payment, but i was charged anyway and i want to notify it"
12,how to leave a comment for a service
13,I don't know anything about your money back policy and I need information about it
12,"I'm happy with the service, what can I do to submit a comment?"
1,"I've got no account, how do I register?"
2,"I want information, talk to Customer Service"
10,I need help closing my online account
7,"i can't find my invoices, what can i do to view them?"
2,"i need information, speak with client service, please"
11,where can I file a complaint for a service?
12,"i am happy with the service, help me submit a comment"
2,"I need information and I would like to call Customer Service, please"
7,ask an agent where to view my invoices
0,"I want to solve an problem making a payment, what do I have to do?"
5,"the gvame was postponed, can I request arefund?"
